
Video_ID,Upload_Date,Company,Title,Channel,View_Count,Video_Likes,Comment_Text,Comment_Likes
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,Can't wait for the future of shared experiences in these. Might be my #1 highest anticipated feature. Ready Player One AND Two please,1169
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"When Marques lifted the rear panel of the F1 car, Cleo should have been able to see that. Two people in the same room have to be able to interact with the same virtual object collaboratively.",818
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"Use Case: Imagine being able to ""rent"" a skybox at the Super Bowl for you and 20 friends. You are all there, talking to each other, watching the game, walking around the box, living the high-life. Now, understand that this ability to ""rent"" that skybox is available to everyone around the world. That is the potential; to go to places, have the best view, and bring along anyone, from anywhere, to go with you.",114
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"i think that being able to move on from memories is also a part of life that we cannot lose. It's good to always remember a good time or a previous moment, without being so obsessed with it that we forget to move forwards.",38
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"""The ability to jump to any place and bring people with you""

VR Chat enters the, errm, chat.",309
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"While it's exciting, the things like ""if I could go back and see family in the headset"" definitely feels like a plot for a black mirror episode or other dystopian scifi where people become shut-in, preferring to live in virtual ""ideal"" world.",91
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"cant belive she didnt even mention what people are already doing in vrchat and resonite
apart from that great video",34
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"I am earger to try one of these just to feel how much better it is than the Quest 3. Because almost of the stuff showcased here, the Quest 3 has. Pinning things in your real space with MR, hand tracking that is not perfect but pretty good, etc. Also, how much better the eye tracking is from the PSVR2, which is impressive also.",16
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"My family lives in a different state and since I live in a big city, most of my friends live far too. Technology wasn’t the reason they’re far so it does help to have technology to connect us and shorten our physical distance. And boy it helps when you’re feeling lonely. To be able to see someone on FaceTime and live talk to them sometimes feels magical knowing how far they are. A digital hologram would be AWESOME! I could only dream of talking to my mom and seeing her as a hologram right next to me.",4
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"0:55 props to the editor, that transition was super cool!",2
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"Bought it Friday night and boarded a flight to London. OMG it’s so good in the airplane. I wish they had a youtube app!!! And my medical studying apps. So much potential and ITS SO CLEAR AND CRISPYYYYYYYYYY

The end goal with this is clearly AR, and that’s what I want. I want to see the world around me and have an overlay for things",3
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"Cleo X MKBHD, always delivers!",455
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"LOVED LOVED LOVED this one Cleo!! - PURE GOLD on the ""come from"" with the message!  AND - NOTHING will EVER beat IRL - the face to face - the hugs and energy field interactions that unfold.  3 Reasons I SUBBED all those years ago...  I feel Genuine Authenticity, I feel YOUR WONDER with the things that ""Spark"" you, and your SMILE!  (and Positive Energy!)   THIS is a Triple Crown Channel - IMO!",1
n7hJlyVDEc8,2024-02-06T14:06:02Z,Apple,The Real Reason To Care About The Apple Vision Pro,Cleo Abram,438987,22692,"For a practical application, I think of technical training or other classroom experiences.  Something I missed during the Pandemic was the ability to be in a classroom while teaching a class.  My dream for this type of technology in the future is to have a “Jedi Council” moment where folks can be in a “class” and see everyone around them, even if they are at home.  Imagine being able to attend a class from anywhere, and feel like you are in class with everyone else.",1
